time,torque,RPM,current,voltage,temperature
2.8154397010803223,-0.00,0.00,109.11,0.03,16.20
3.823223352432251,-0.00,0.00,109.89,0.05,15.76
4.830931186676025,-0.00,0.00,109.78,0.05,15.32
5.854314565658569,-0.00,0.00,108.90,0.16,15.32
6.846180200576782,-0.00,0.00,109.11,0.43,15.76
7.853899002075195,-0.00,0.00,109.11,0.08,15.76
8.861459493637085,-0.00,0.00,109.56,0.32,15.76
9.885152816772461,-0.00,0.00,110.40,0.30,15.76
10.87692666053772,-0.00,0.00,109.00,0.30,15.32
11.884694337844849,0.00,0.00,110.22,0.35,15.32
12.892245769500732,-0.00,0.00,109.89,0.03,15.32
13.916029453277588,-0.00,0.00,108.90,0.30,15.76
14.907612562179565,-0.00,0.00,108.11,0.43,15.76
15.915295839309692,-0.00,0.00,108.44,0.11,17.08
16.93868327140808,-0.00,0.00,109.22,0.08,16.64
17.946723461151123,-0.00,0.00,109.00,0.22,16.64
18.954183340072632,0.00,0.00,109.11,0.08,16.20
19.961782932281494,0.00,0.00,109.00,0.08,17.08
20.969648122787476,-0.00,0.00,108.67,0.16,16.20
21.977410316467285,0.00,0.00,109.00,0.11,17.08
22.985153436660767,0.00,0.00,108.33,0.08,16.64
23.992899894714355,-0.00,0.00,108.22,0.05,16.20
25.000418186187744,-0.00,0.00,107.89,0.35,16.64
26.008068084716797,-0.00,0.00,107.89,0.19,16.64
27.0157949924469,-0.00,0.00,108.60,0.05,17.08
28.023398637771606,-0.00,0.00,108.89,0.16,17.08
29.031096935272217,-0.00,0.00,109.78,0.41,17.08
30.038766384124756,-0.00,0.00,110.22,0.14,17.08
31.046549558639526,-0.00,0.00,110.40,0.24,17.08
32.05419158935547,-0.00,0.00,109.56,0.30,16.64
33.06187105178833,-0.00,0.00,109.78,0.19,17.08
34.08560299873352,0.00,0.00,110.30,0.16,16.20
35.07716202735901,0.00,0.00,110.00,0.05,16.64
36.084858655929565,0.00,0.00,109.56,0.05,16.20
37.09261131286621,0.00,0.00,109.78,0.35,16.20
38.10035514831543,0.00,0.00,109.89,0.11,16.64
39.10785388946533,0.00,0.00,108.70,0.11,15.76
40.13115668296814,-0.00,0.00,110.00,0.11,16.20
41.13889002799988,0.00,0.00,109.67,0.03,16.64
42.14639759063721,0.00,0.00,110.11,0.08,16.20
43.154091358184814,0.00,0.00,109.30,0.22,16.20
44.16180872917175,0.00,0.00,109.67,0.19,16.20
45.16951894760132,0.00,0.00,110.89,0.16,15.76
46.177566051483154,0.00,0.00,110.60,0.08,15.76
47.185097217559814,0.00,0.00,110.56,0.14,16.20
48.192989349365234,0.00,0.00,110.44,0.11,15.76
49.20076394081116,-0.00,0.00,109.78,0.22,16.20
50.20846223831177,0.00,0.00,109.33,0.08,16.20
51.216097593307495,0.00,0.00,109.70,0.41,16.20
52.223769426345825,0.00,0.00,109.56,0.32,15.76
53.23147630691528,0.00,0.00,109.89,0.16,15.76
54.25499248504639,0.00,0.00,109.00,0.30,15.32
55.24687623977661,0.00,0.00,109.00,0.32,15.32
56.25451588630676,0.00,0.00,109.56,0.19,16.20
57.26234006881714,0.00,0.00,109.22,0.11,16.20
58.285876989364624,0.00,0.00,109.80,0.41,15.76
59.27766704559326,0.00,0.00,111.33,0.08,15.76
60.28522849082947,0.00,0.00,110.00,0.30,15.76
61.308663845062256,0.00,0.00,110.22,0.27,15.32
62.316789865493774,0.00,0.00,109.50,0.05,15.76
63.32417392730713,0.00,0.00,110.33,0.11,16.20
64.331871509552,0.00,0.00,109.78,0.16,15.76
65.33960294723511,0.00,0.00,110.56,0.16,15.32
66.34728527069092,0.00,0.00,110.22,0.41,16.20
67.35499787330627,0.00,0.00,111.20,0.16,15.32
68.36273193359375,0.00,0.00,111.00,0.43,15.76
69.3704526424408,0.00,0.00,110.67,0.35,15.76
70.3939893245697,0.00,0.00,109.50,0.08,15.76
71.38569235801697,0.00,0.00,109.67,0.19,16.20
72.39354372024536,0.00,0.00,109.89,0.08,16.20
73.40121746063232,0.00,0.00,109.56,0.19,16.20
74.42489528656006,0.00,0.00,110.20,0.14,15.76
75.41661357879639,0.00,0.00,109.11,0.16,15.32
76.4243335723877,0.00,0.00,110.33,0.16,15.76
77.4318459033966,0.00,0.00,109.89,0.14,15.76
78.43936514854431,0.00,0.00,109.11,0.19,15.76
79.44725728034973,0.00,0.00,110.10,0.03,16.20
80.45491456985474,0.00,0.00,110.67,0.16,15.32
81.47825837135315,0.00,0.00,109.44,0.32,15.76
82.48624229431152,0.00,0.00,110.90,0.24,15.32
83.49377822875977,0.00,0.00,109.89,0.08,16.20
84.50163722038269,0.00,0.00,109.44,0.24,15.76
85.50927495956421,0.00,0.00,110.11,0.11,16.20
86.5325996875763,0.00,0.00,109.60,0.19,16.20
87.52473258972168,0.00,0.00,110.89,0.22,15.76
88.53254270553589,0.00,0.00,109.56,0.27,16.20
89.54022002220154,0.00,0.00,109.22,0.03,16.20
90.54789233207703,0.00,0.00,109.00,0.03,16.20
91.55525016784668,0.00,0.00,109.00,0.03,15.76
92.56325459480286,0.00,0.00,110.56,0.05,16.20
93.57090711593628,0.00,0.00,110.22,0.14,16.20
