time,torque,RPM,current,voltage
2.8024251461029053,0.15,0.00,113.44,0.03
3.810255289077759,0.15,0.00,112.67,0.00
4.817716598510742,0.15,0.00,112.22,0.00
5.8408308029174805,0.15,0.00,112.20,0.00
6.84845495223999,0.53,1246.29,1295.22,16.40
7.855838298797607,0.40,2217.82,807.44,16.40
8.86315631866455,0.38,2200.20,834.22,16.37
9.870517253875732,0.47,2217.82,861.40,16.37
10.877673387527466,0.40,2198.02,832.67,16.37
11.884881734848022,0.39,2200.20,815.11,16.40
12.892266988754272,0.47,2220.02,830.22,16.42
13.899370670318604,0.38,2198.02,857.90,16.42
14.906661987304688,0.38,2220.02,867.56,16.37
15.913922786712646,0.46,2217.82,842.11,16.40
16.92138123512268,0.37,2198.02,810.11,16.42
17.928718328475952,0.38,2220.02,824.20,16.37
18.93603491783142,0.44,2217.82,853.89,16.37
19.943435668945312,0.39,2198.02,851.78,16.37
20.950929403305054,0.38,2220.02,848.00,16.40
21.958131551742554,0.44,2200.20,836.70,16.34
22.981135845184326,0.39,2217.82,846.22,16.40
23.988463878631592,0.39,2220.02,846.11,16.37
24.995628118515015,0.44,2198.02,846.56,16.42
26.002578258514404,0.41,2215.63,819.50,16.32
27.009897708892822,0.40,2217.82,808.44,16.34
28.01760506629944,0.41,2198.02,840.89,16.37
29.040833711624146,0.40,2213.52,859.90,16.40
30.031930446624756,0.41,2220.00,861.22,16.37
31.039358139038086,0.41,2198.02,814.00,16.40
32.04683804512024,0.41,2217.82,803.33,16.40
33.07072353363037,0.45,2213.52,837.80,16.40
34.06191802024841,0.38,2202.20,869.11,16.40
35.06928515434265,0.38,2198.02,842.00,16.40
36.092161417007446,0.43,2217.82,836.78,16.37
37.099738359451294,0.37,2217.86,830.70,16.40
38.10702180862427,0.36,2215.57,868.67,16.29
39.11427569389343,0.44,2198.02,847.22,16.42
40.12150859832764,0.38,2217.82,811.22,16.37
41.14468216896057,0.39,2217.86,831.60,16.40
42.13616943359375,0.46,2220.00,850.56,16.40
43.14345955848694,0.39,2198.02,817.78,16.45
44.15096855163574,0.39,2220.02,825.67,16.40
45.17425084114075,0.42,2215.69,873.90,16.42
46.16554355621338,0.39,2204.41,873.44,16.40
47.17285418510437,0.39,2217.82,854.33,16.40
48.180103063583374,0.44,2200.20,846.33,16.37
49.187426805496216,0.40,2220.02,831.44,16.40
50.1947546005249,0.42,2198.02,867.90,16.45
51.20203375816345,0.42,2217.82,896.44,16.37
52.224976778030396,0.43,2198.02,900.89,16.45
53.23240685462952,0.44,2213.52,906.90,16.37
54.23951077461243,0.41,2200.00,870.89,16.34
55.2472665309906,0.42,2198.02,881.56,16.32
56.254560708999634,0.48,2198.02,890.67,16.34
57.27737498283386,0.42,2213.52,869.90,16.37
58.2693247795105,0.40,2202.20,875.33,16.37
59.276713609695435,0.46,2198.02,904.56,16.40
60.283742904663086,0.42,2198.02,875.00,16.42
61.307352781295776,0.45,2215.69,903.70,16.37
62.298654556274414,0.43,2197.80,949.56,16.37
63.30535650253296,0.42,2198.02,930.22,16.34
64.32886362075806,0.48,2195.85,947.56,16.42
65.33613777160645,0.43,2196.08,943.60,16.37
66.3436439037323,0.44,2202.20,940.22,16.37
67.3510365486145,0.44,2217.82,917.11,16.42
68.3582375049591,0.43,2198.02,930.78,16.34
69.3813362121582,0.46,2193.93,929.40,16.37
70.37311482429504,0.42,2204.41,890.67,16.40
71.38055658340454,0.43,2198.02,896.89,16.42
72.38823914527893,0.48,2200.20,895.00,16.42
73.39522171020508,0.41,2200.20,867.89,16.40
74.40260910987854,0.43,2195.85,883.40,16.42
75.4099805355072,0.46,2217.82,905.56,16.34
76.41727209091187,0.45,2178.22,898.11,16.32
77.44059181213379,0.45,2213.52,937.90,16.42
78.44743657112122,0.48,2180.00,936.67,16.34
79.45486903190613,0.47,2198.02,947.44,16.40
80.46233415603638,0.48,2195.85,984.89,16.32
81.469717502594,0.44,2196.08,982.50,16.40
82.47702312469482,0.48,2182.18,1039.44,16.40
83.4843213558197,0.51,2178.22,1010.22,16.32
84.49180126190186,0.47,2198.02,995.33,16.37
85.49901604652405,0.46,2200.20,982.56,16.32
86.50602459907532,0.51,2178.22,972.20,16.42
87.51350975036621,0.44,2217.82,889.00,16.32
88.5208146572113,0.45,2198.02,891.33,16.45
89.54429817199707,0.45,2198.23,917.10,16.32
90.53561639785767,0.44,2202.20,911.33,16.45
91.54286479949951,0.45,2198.02,921.89,16.37
92.55006194114685,0.43,2198.02,932.44,16.37
93.57381081581116,0.43,2196.08,923.30,16.40
94.56485414505005,0.48,2204.41,961.00,16.42
95.58782839775085,0.46,2198.02,981.78,16.34
96.59532833099365,0.44,2200.20,946.11,16.34
97.60283875465393,0.50,2198.02,957.89,16.37
98.61034536361694,0.44,2176.06,963.90,16.45
99.61769604682922,0.48,2198.02,985.00,16.34
100.62509512901306,0.53,2198.02,1001.33,16.37
101.64805340766907,0.49,2174.34,1070.80,16.32
102.6396255493164,0.50,2200.00,1045.44,16.42
103.64695930480957,0.52,2178.22,1059.78,16.40
104.65419673919678,0.50,2178.22,990.78,16.37
105.67750644683838,0.49,2193.93,1023.20,16.40
106.6687445640564,0.49,2182.18,1003.78,16.32
107.69177269935608,0.47,2198.02,1023.00,16.42
108.69917440414429,0.50,2180.38,997.56,16.37
109.70689010620117,0.49,2196.08,1008.30,16.40
110.7141923904419,0.49,2177.82,981.11,16.40
111.72169804573059,0.53,2195.85,1023.33,16.37
112.72906374931335,0.52,2178.22,1085.00,16.32
113.75225305557251,0.52,2174.34,1017.50,16.37
114.74370241165161,0.52,2197.80,1003.22,16.40
115.75103306770325,0.49,2178.22,985.67,16.29
116.75809669494629,0.51,2178.22,1087.11,16.32
117.7815351486206,0.54,2174.34,1096.60,16.40
118.7886962890625,0.53,2180.00,1054.22,16.45
119.79589486122131,0.53,2178.22,1078.33,16.40
120.80338668823242,0.56,2178.22,1135.78,16.37
121.81067609786987,0.55,2174.34,1068.00,16.37
122.81803774833679,0.59,2162.16,1142.11,16.42
123.82536125183105,0.56,2178.22,1115.67,16.34
124.83284163475037,0.56,2160.55,1150.78,16.40
125.85602474212646,0.60,2156.86,1144.90,16.40
126.84747409820557,0.60,2157.84,1153.44,16.29
127.8549063205719,0.62,2178.22,1198.67,16.40
128.8621757030487,0.64,2158.42,1152.22,16.37
129.885436296463,0.60,2154.75,1200.40,16.37
130.8923261165619,0.61,2140.00,1157.78,16.34
131.89975094795227,0.62,2158.42,1181.33,16.32
132.90721821784973,0.62,2138.61,1179.11,16.42
133.91461038589478,0.62,2154.75,1180.20,16.40
134.9219880104065,0.63,2142.14,1201.56,16.29
135.92934203147888,0.63,2158.42,1255.89,16.37
136.9367389678955,0.66,2140.73,1201.78,16.40
137.96011209487915,0.65,2137.25,1228.70,16.32
138.9517538547516,0.65,2137.86,1235.22,16.40
139.95905685424805,0.67,2158.42,1206.33,16.34
140.96602129936218,0.64,2138.61,1243.00,16.29
141.9893925189972,0.65,2135.16,1275.40,16.37
142.99629402160645,0.75,2120.00,1384.00,16.32
144.00334930419922,0.74,2118.81,1403.11,16.37
145.0109932422638,0.75,2118.81,1370.00,16.32
146.01807641983032,0.78,2135.16,1352.30,16.26
147.02574181556702,0.75,2122.12,1372.56,16.32
148.03314399719238,0.73,2118.81,1398.33,16.29
149.04057383537292,0.75,2120.91,1376.67,16.37
150.06366086006165,0.72,2117.65,1319.20,16.32
151.055349111557,0.72,2137.86,1308.11,16.34
152.06269717216492,0.73,2116.72,1360.56,16.37
153.0699212551117,0.72,2138.61,1324.56,16.40
154.0933039188385,0.73,2117.65,1318.20,16.37
155.10034823417664,0.73,2135.73,1349.56,16.29
156.1072976589203,0.73,2118.81,1360.44,16.32
157.1150860786438,0.73,2136.50,1304.11,16.32
158.13814663887024,0.74,2117.65,1326.30,16.34
159.12970542907715,0.72,2117.88,1372.78,16.32
160.13699293136597,0.73,2138.61,1320.89,16.34
161.14431381225586,0.76,2116.72,1418.67,16.37
162.1678147315979,0.80,2117.65,1444.20,16.34
163.15926837921143,0.78,2120.00,1427.00,16.29
164.18208074569702,0.78,2118.81,1396.44,16.32
165.18980622291565,0.78,2118.81,1410.00,16.34
166.19727039337158,0.78,2119.72,1430.10,16.34
167.20456194877625,0.79,2115.77,1442.11,16.29
168.21180748939514,0.78,2118.81,1430.22,16.32
169.21916151046753,0.77,2118.81,1400.11,16.32
170.24228811264038,0.81,2115.57,1425.30,16.29
171.2336802482605,0.78,2100.00,1436.78,16.29
172.2408835887909,0.78,2118.81,1456.56,16.34
173.24831366539001,0.78,2118.81,1439.89,16.26
174.27138090133667,0.79,2095.98,1476.80,16.29
175.2786841392517,0.82,2102.10,1490.00,16.32
176.28610849380493,0.85,2099.01,1529.56,16.26
177.29331755638123,0.89,2101.09,1554.22,16.32
178.301207780838,0.90,2098.04,1598.00,16.29
179.3085606098175,0.91,2077.92,1578.67,16.37
180.31535577774048,0.92,2096.93,1611.89,16.26
181.3230860233307,0.92,2079.21,1635.00,16.32
182.34613013267517,0.92,2076.40,1634.60,16.29
183.33739733695984,0.94,2097.90,1616.00,16.32
184.34445929527283,0.92,2079.21,1627.33,16.29
185.35138964653015,0.94,2079.21,1656.22,16.29
186.3749463558197,0.96,2076.40,1661.70,16.37
187.38247895240784,0.97,2080.00,1702.22,16.26
188.38999676704407,0.98,2059.41,1714.33,16.37
189.39736127853394,0.99,2079.21,1736.56,16.32
190.42055416107178,1.00,2056.81,1782.80,16.32
191.41226506233215,1.02,2062.06,1762.11,16.29
192.41952681541443,1.03,2039.60,1762.78,16.34
193.42687726020813,1.04,2041.63,1834.67,16.18
194.44995141029358,1.05,2019.61,1845.50,16.13
195.44137406349182,1.06,1918.08,1857.78,15.75
196.44855737686157,1.07,1762.38,1850.78,15.31
197.45559453964233,1.06,1524.75,1849.89,15.15
198.479243516922,1.02,1980.39,1703.80,16.26
199.48624801635742,0.91,2100.00,1543.44,16.37
200.49350547790527,0.85,2099.01,1535.56,16.26
201.50143909454346,0.85,2099.01,1538.78,16.26
202.52417659759521,0.88,2095.98,1565.00,16.34
203.51541900634766,0.90,2102.10,1608.56,16.32
204.52293801307678,0.93,2079.21,1651.33,16.29
205.5305278301239,0.98,2081.27,1727.78,16.26
206.55374693870544,0.99,2058.82,1770.80,16.32
207.54511523246765,1.01,2077.92,1739.11,16.26
208.55243611335754,1.03,2059.41,1768.11,16.34
209.55954432487488,1.03,2039.60,1792.56,16.32
210.58289241790771,1.04,2056.81,1829.30,16.18
211.58993935585022,1.05,2020.00,1827.44,16.21
212.59739518165588,1.06,2039.60,1844.89,16.24
213.60487699508667,1.04,2059.41,1813.00,16.13
214.627863407135,1.06,2037.22,1796.90,16.32
215.61952376365662,1.06,2062.06,1814.44,16.32
216.6269929409027,1.05,2039.60,1810.56,16.32
217.63437056541443,1.06,2041.63,1819.00,16.26
218.65750288963318,1.05,2058.82,1816.00,16.29
219.64899230003357,1.04,2057.94,1751.22,16.29
220.65631484985352,0.95,2096.93,1614.89,16.37
221.66349267959595,0.93,2079.21,1614.56,16.32
222.68660593032837,0.31,450.98,248.90,0.00
223.6937346458435,0.06,0.00,114.33,0.00
224.70113396644592,0.07,0.00,113.67,0.00
225.70849585533142,0.07,0.00,113.33,0.00
226.71587085723877,0.07,0.00,113.50,0.00
227.72334384918213,0.07,0.00,113.22,0.00
228.73070120811462,0.07,0.00,112.44,0.00
229.7381031513214,0.07,0.00,113.67,0.00
230.76140666007996,0.07,0.00,112.70,0.00
