time,torque,RPM,current,voltage,temperature
2.8121917247772217,0.13,0.00,-105.33,0.03,13.99
3.819746732711792,0.13,0.00,-104.56,0.05,13.99
4.827365159988403,0.13,0.00,-106.22,0.08,13.55
5.850750207901001,0.13,0.00,-105.60,0.00,13.99
6.84266471862793,0.13,0.00,-106.00,0.41,13.11
7.850367069244385,0.13,0.00,-105.67,0.22,13.99
8.857901096343994,0.13,0.00,-106.44,0.16,13.99
9.881473302841187,0.22,450.98,766.10,21.43,13.99
10.873226642608643,0.76,2100.00,788.44,24.54,13.55
11.880703210830688,0.59,2116.72,759.11,24.62,13.11
12.888339281082153,0.55,2140.73,746.67,24.60,13.99
13.912014484405518,0.61,2117.65,750.30,24.14,13.11
14.919113397598267,0.55,2122.12,750.22,24.52,13.11
15.926790237426758,0.62,2118.81,754.67,24.62,13.11
16.9340717792511,0.53,2138.61,747.78,24.60,13.55
17.94207239151001,0.61,2120.91,748.11,23.97,13.55
18.949803590774536,0.62,2116.72,754.70,24.57,13.55
19.957631587982178,0.62,2138.61,761.11,24.60,13.55
20.96509861946106,0.55,2118.81,761.78,24.27,13.11
21.988396883010864,0.61,2117.65,761.90,24.27,13.55
22.980385780334473,0.57,2120.00,756.44,24.52,13.11
23.98805546760559,0.62,2118.81,777.78,24.65,13.55
24.995661973953247,0.62,2118.81,747.00,24.14,13.55
26.01925826072693,0.56,2135.16,747.50,24.35,13.55
27.010385036468506,0.61,2120.00,779.11,23.89,13.11
28.018544912338257,0.61,2120.91,771.89,24.11,13.55
29.026085376739502,0.63,2136.50,756.78,24.33,13.55
30.049642324447632,0.62,2119.72,764.00,24.38,13.55
31.04143786430359,0.61,2117.88,783.67,24.11,13.55
32.06466794013977,0.62,2136.50,770.89,24.35,13.99
33.07235789299011,0.57,2120.91,752.33,24.14,13.99
34.080358266830444,0.62,2137.25,757.00,24.43,13.99
35.087584257125854,0.61,2117.88,763.44,24.24,13.11
36.095431089401245,0.63,2138.61,745.22,24.33,13.11
37.103004455566406,0.62,2116.72,771.56,24.08,13.55
38.1261682510376,0.59,2137.25,753.50,24.57,13.99
39.11822986602783,0.61,2120.00,772.89,24.54,13.11
40.12578582763672,0.62,2120.91,757.00,24.35,13.99
41.133105754852295,0.62,2136.50,767.00,24.46,13.99
42.15696334838867,0.62,2117.65,760.80,24.43,13.11
43.14860153198242,0.59,2142.14,749.44,24.60,13.55
44.15623188018799,0.62,2118.81,758.67,24.33,13.99
45.16391849517822,0.58,2142.86,775.89,24.00,13.99
46.17150640487671,0.61,2118.81,737.78,24.73,13.55
47.17917037010193,0.59,2138.61,761.30,24.33,14.44
48.18675422668457,0.61,2118.81,772.11,24.57,13.99
49.194387912750244,0.62,2136.50,758.22,24.22,13.55
50.21789073944092,0.61,2135.16,759.10,24.14,13.99
51.225123167037964,0.60,2120.00,762.11,24.06,13.55
52.23300504684448,0.60,2138.61,771.11,24.46,14.44
53.24063849449158,0.60,2118.81,743.22,24.65,13.99
54.24828290939331,0.60,2137.25,771.80,24.35,14.44
55.256001472473145,0.63,2122.12,773.67,24.52,13.55
56.26359724998474,0.58,2118.81,752.78,24.33,13.55
57.27127647399902,0.64,2120.91,779.56,24.41,13.55
58.27888083457947,0.61,2118.81,773.00,24.16,13.11
59.28652238845825,0.62,2136.50,763.20,23.84,13.99
60.294209718704224,0.63,2120.91,772.56,24.46,13.55
61.30136060714722,0.60,2136.50,780.22,24.43,13.99
62.325376987457275,0.58,2117.65,783.60,24.46,13.99
63.317049741744995,0.67,2120.00,793.22,24.30,13.99
64.32469272613525,0.67,2136.50,790.78,24.43,14.44
65.33221673965454,0.61,2120.91,803.44,24.38,14.44
66.3558738231659,0.66,2115.57,824.80,24.79,13.99
67.34756541252136,0.63,2124.25,827.67,24.03,13.99
68.35523986816406,0.64,2118.81,829.56,24.57,13.99
69.37841558456421,0.65,2118.81,826.33,24.33,13.99
70.38590717315674,0.65,2120.91,838.78,24.11,13.99
71.39362168312073,0.66,2116.72,863.60,24.52,13.99
72.40148711204529,0.66,2138.61,845.67,24.41,14.44
73.40918159484863,0.67,2099.01,860.89,24.38,14.44
74.41691613197327,0.70,2117.65,896.40,24.00,13.99
75.42456007003784,0.68,2120.00,900.56,24.52,13.55
76.43213486671448,0.74,2118.81,907.22,24.27,13.99
77.43971657752991,0.69,2101.09,879.56,24.60,13.99
78.44738388061523,0.70,2118.81,881.56,24.46,13.55
79.45476865768433,0.74,2118.81,900.50,24.30,14.44
80.46258878707886,0.73,2101.09,929.44,24.24,13.99
81.47010946273804,0.73,2118.81,952.89,24.49,14.44
82.47773098945618,0.73,2101.09,961.33,24.49,13.11
83.4851975440979,0.80,2096.93,973.90,24.16,14.44
84.49286937713623,0.75,2116.72,981.56,24.33,14.88
85.50052332878113,0.81,2101.09,968.89,24.49,14.44
86.52408075332642,0.79,2098.04,1022.40,24.33,14.44
